trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name
30,BIOL,234,O,LABORATORY,0,,,,R,,2:30:00 PM,5:30:00 PM,Yowler,Brian
10,BIOL,301,A,ADVANCED GENETICS,4,,T,,R,,10:05:00 AM,11:20:00 AM,Stauff,Devin
10,BIOL,301,L,LABORATORY,0,,T,,R,,11:30:00 AM,12:45:00 PM,Stauff,Devin
10,BIOL,305,A,PLANT TAXONOMY,4,M,,W,,F,10:00:00 AM,10:50:00 AM,Dudt,Jan
10,BIOL,305,L,LABORATORY,0,,,W,,,2:00:00 PM,4:59:00 PM,Dudt,Jan
30,BIOL,310,A,ZOONOTIC DISEASE AND PUBLIC HEALTH,4,,T,,R,,11:30:00 AM,12:45:00 PM,Farone,Tracy
30,BIOL,310,L,LABORATORY,0,,,,,F,1:00:00 PM,2:59:00 PM,Farone,Tracy
10,BIOL,313,A,HISTOLOGY,3,,T,,R,,1:00:00 PM,2:15:00 PM,Farone,Tracy
30,BIOL,320,A,CONSERVATION/WILDLIFE BIOLOGY,4,M,,W,,F,8:00:00 AM,8:50:00 AM,Wood,Darren
30,BIOL,320,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Wood,Darren
30,BIOL,322,A,THE BIOLOGY OF CANCER,3,M,,W,,F,12:00:00 PM,12:50:00 PM,Antoszewski,Lisa
30,BIOL,326,A,EVOLUTIONARY BIOLOGY,3,,T,,R,,10:05:00 AM,11:20:00 AM,Dudt,Jan
10,BIOL,331,A,ECOLOGY,4,,T,,R,,8:00:00 AM,9:15:00 AM,Wood,Darren
10,BIOL,331,L,LABORATORY,0,M,,,,,2:00:00 PM,4:59:00 PM,Wood,Darren
30,BIOL,334,A,BIOCHEMISTRY FOR BIOLOGY,3,M,,W,,F,1:00:00 PM,1:50:00 PM,Pazehoski,Kristina
10,BIOL,341,A,HUMAN/MAMMALIAN ANATOMY,4,M,,W,,F,12:00:00 PM,12:50:00 PM,Farone,Tracy
10,BIOL,341,L,LABORATORY,0,M,,,,,1:00:00 PM,2:59:00 PM,Farone,Tracy
10,BIOL,341,M,LABORATORY,0,M,,,,,3:00:00 PM,4:59:00 PM,Farone,Tracy
10,BIOL,341,N,LABORATORY,0,,,W,,,1:00:00 PM,2:59:00 PM,Farone,Tracy
30,BIOL,346,A,HUMAN/MAMMALIAN PHYSIOLOGY,4,M,,W,,F,11:00:00 AM,11:50:00 AM,Farone,Tracy
30,BIOL,346,L,LABORATORY,0,,,W,,,3:00:00 PM,4:59:00 PM,Antoszewski,Lisa
